psraid,state,community,region,registered,oftvote,vote,sex,age,educ,racethn,marital,parent,income,party
75460,37,S,3,1,1,2,1,63,3,1,1,2,6,3
75461,12,S,3,1,1,1,1,55,4,1,3,2,6,3
75462,13,R,3,1,1,1,2,25,3,2,1,1,3,2
75467,12,U,3,1,4,1,1,44,3,2,6,2,3,2
75469,45,S,3,1,1,2,2,56,7,1,1,2,5,1
75471,42,S,1,1,1,2,2,59,8,1,1,2,7,1
75472,18,R,2,1,1,1,1,22,3,2,6,1,1,2
75476,25,S,1,1,2,1,1,50,4,1,2,2,3,2
75478,42,S,1,1,1,1,1,23,4,1,2,1,6,2
75479,42,S,1,2, ,1,1,50,3,1, , , ,3
75480,42,U,1,1,2,2,1,21,4,1,6,2,10,1
75483,42,U,1,2, ,1,1,25,4,1, , , ,2
75484,39,U,2,2, ,2,2,19,2,1, , , ,3
75485,25,U,1,1,1,1,2,41,3,1,1,2,5,2
75486,9,U,1,1,1,2,2,59,8,1,2,2,8,3
75487,13,S,3,2, ,1,2,22,2,3, , , ,3
75488,36,R,1,1,1,1,2,56,4,1,5,2,1,2
75490,39,R,2,1,1,2,1,77,5,1,1,2,10,1
75491,37,U,3,2, ,9,2,67,1,1, , , ,9
75497,26,R,2,1,2,1,2,49,4,1,2,2,1,2
75502,51,U,3,2, ,9,1,27,5,1, , , ,2
75503,13,S,3,2, ,1,1,37,8,1, , , ,2
75509,42,R,1,2, ,1,2,40,3,1, , , ,2
75510,36,R,1,2, ,9,1,25,5,1, , , ,4
75511,37,U,3,1,1,1,2,36,8,2,6,2,4,2
75512,12,,3,1,2,2,1,33,8,3,2,2,9,3
75516,13,U,3,1,1,1,2,57,7,1,1,2,3,3
75517,45,S,3,1,1,1,2,46,5,2,1,2,7,2
75519,13,S,3,2, ,2,2,44,2,1, , , ,9
75520,51,U,3,2, ,1,2,36,3,1, , , ,3
75522,51,S,3,2, ,1,2,50,3,1, , , ,3
75523,19,R,2,1,1,2,1,91,1,1,5,2,3,1
75525,1,U,3,1,1,2,1,60,8,1,1,1,10,3
75526,5,R,3,1,1,1,1,41,5,9,1,1,7,3
75529,17,S,2,1,4,1,1,66,4,1,1,2,6,2
75532,12,S,3,1,2,1,2,56,5,2,1,1,2,2
75533,34,S,1,2, ,9,1,19,4,2, , , ,3
75535,20,U,2,2, ,1,2,19,3,3, , , ,3
75537,48,U,3,1,1,1,2,79,6,1,4,2,3,2
75539,42,R,1,1,2,3,1,67,6,1,1,2,7,1
75541,47,R,3,2, ,1,2,52,2,1, , , ,9
75545,31,S,2,1,1,2,1,45,8,1,3,1,6,1
75546,47,R,3,2, ,1,2,26,3,1, , , ,2
75550,25,S,1,1,1,1,2,40,4,3,1,1,1,2
75551,44,S,1,2, ,2,1,39,6,1, , , ,3
75552,48,U,3,1,6,1,2,19,3,2,6,2,6,3
75554,1,U,3,2, ,2,1,37,3,1, , , ,1
75555,5,S,3,1,1,1,2,34,6,2,1,2,10,2
75556,47,U,3,1,1,1,1,61,4,1,3,2,3,2
75558,12,U,3,1,1,1,2,46,5,2,6,2,4,2
75559,22,S,3,2, ,9,2,52,4,3, , , ,9
75561,34,S,1,1,2,1,1,22,4,4,6,2,5,3
75562,12,U,3,1,2,1,2,38,6,2,1,1,6,3
75564,47,U,3,1,1,1,1,59,6,1,1,1,7,4
75565,39,R,2,2, ,1,2,23,7,1, , , ,2
75570,26,S,2,2, ,1,1,30,3,4, , , ,2
75571,12,S,3,1,3,2,1,73,3,1,4,2,3,3
75573,24,S,3,1,1,2,2,73,5,1,1,2,4,1
75574,45,S,3,1,1,3,1,18,3,4,2,2,3,3
75577,51,U,3,2, ,1,2,38,3,3, , , ,2
75579,24,S,3,1,1,2,2,26,4,1,6,2,3,1
75580,45,S,3,1,1,2,2,34,3,1,4,1,2,1
75583,21,S,3,1,1,1,1,30,3,1,2,1,4,3
75586,42,R,1,1,1,2,2,65,3,1,1,2,6,1
75590,13,S,3,1,2,2,2,39,6,1,1,1,7,1
75595,36,U,1,2, ,1,1,51,8,4, , , ,3
75598,51,U,3,1,1,1,2,45,2,2,4,1,2,2
75604,25,S,1,1,2,3,1,26,3,1,6,2,9,2
